Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-07-22,2014,7,22,Tuesday,29,2014-29,39.17,39.51,39.1,39.37,6457000.0,36.12,0.014559524109325928,36.008571428571415,34.58439999999999
2014-07-23,2014,7,23,Wednesday,29,2014-29,39.26,39.64,39.2,39.57,6439800.0,36.3,0.005080371438126008,36.039999999999985,34.65779999999998
2014-07-24,2014,7,24,Thursday,29,2014-29,39.79,40.32,39.58,40.22,16129200.0,36.9,0.016552754469647324,36.085714285714275,34.74299999999998
2014-07-25,2014,7,25,Friday,29,2014-29,39.2,39.66,38.95,39.37,18974600.0,36.12,-0.021255607346782113,36.087857142857125,34.82179999999998
2014-07-28,2014,7,28,Monday,30,2014-30,39.4,39.5,39.08,39.18,8013000.0,35.94,-0.004825497300319892,36.08142857142856,34.899799999999985
2014-07-29,2014,7,29,Tuesday,30,2014-30,39.24,39.62,39.21,39.33,7936000.0,36.07,0.003700699223805115,36.05499999999999,34.970399999999984
2014-07-30,2014,7,30,Wednesday,30,2014-30,39.5,39.59,39.26,39.45,8911000.0,36.19,0.003178415075185681,36.05642857142856,35.042799999999986
2014-07-31,2014,7,31,Thursday,30,2014-30,39.26,39.35,38.76,38.84,8146000.0,35.63,-0.015462454266028547,36.02642857142857,35.11119999999998
2014-08-01,2014,8,1,Friday,30,2014-30,38.75,38.94,38.29,38.49,7797800.0,35.31,-0.009011056780696247,35.975,35.171599999999984
2014-08-04,2014,8,4,Monday,31,2014-31,38.63,38.88,38.51,38.76,6282600.0,35.56,0.007144055618272915,35.93071428571429,35.22779999999998
2014-08-05,2014,8,5,Tuesday,31,2014-31,38.58,38.73,38.22,38.4,6694600.0,35.34,-0.006211695838555298,35.87571428571429,35.274399999999986
2014-08-06,2014,8,6,Wednesday,31,2014-31,38.25,38.72,38.13,38.56,5935200.0,35.5,0.004427556658411769,35.880714285714284,35.308599999999984
2014-08-07,2014,8,7,Thursday,31,2014-31,38.67,38.72,38.28,38.35,5428000.0,35.3,-0.005445219328916617,35.848571428571425,35.342399999999984
2014-08-08,2014,8,8,Friday,31,2014-31,38.31,38.83,38.26,38.81,5957200.0,35.72,0.01186271358141422,35.857142857142854,35.38619999999999
2014-08-11,2014,8,11,Monday,32,2014-32,38.83,39.12,38.83,38.94,4513400.0,35.84,0.0032211121620451255,35.83714285714286,35.43119999999998
2014-08-12,2014,8,12,Tuesday,32,2014-32,38.94,39.07,38.76,38.91,4723600.0,35.81,-0.0006421965613264691,35.802142857142854,35.469999999999985
2014-08-13,2014,8,13,Wednesday,32,2014-32,39.05,39.05,38.56,38.62,6935200.0,35.55,-0.007453116846555696,35.705714285714286,35.500599999999984
2014-08-14,2014,8,14,Thursday,32,2014-32,38.74,38.75,38.08,38.31,10892600.0,35.26,-0.0080267730807555,35.644285714285715,35.52079999999999
2014-08-15,2014,8,15,Friday,32,2014-32,38.61,38.64,38.19,38.46,8090000.0,35.39,0.0037849221708745606,35.605,35.543199999999985
2014-08-18,2014,8,18,Monday,33,2014-33,38.6,38.93,38.59,38.79,6830800.0,35.71,0.008841295014660133,35.57928571428571,35.56639999999999
2014-08-19,2014,8,19,Tuesday,33,2014-33,38.9,39.1,38.8,39.06,4907000.0,35.95,0.0068309100576366966,35.56214285714285,35.59579999999999
2014-08-20,2014,8,20,Wednesday,33,2014-33,39.01,39.24,38.87,39.01,4668800.0,35.91,-0.0011522121114374562,35.582142857142856,35.62959999999999
2014-08-21,2014,8,21,Thursday,33,2014-33,38.9,39.08,38.69,38.74,4812000.0,35.65,-0.007176834503959784,35.606428571428566,35.65639999999999
2014-08-22,2014,8,22,Friday,33,2014-33,38.62,38.8,38.53,38.64,4538800.0,35.56,-0.0024525840351352635,35.606428571428566,35.68919999999999
2014-08-25,2014,8,25,Monday,34,2014-34,38.82,39.11,38.76,38.99,5698400.0,35.88,0.008928859689853352,35.644999999999996,35.721599999999995
2014-08-26,2014,8,26,Tuesday,34,2014-34,39.01,39.22,38.88,38.9,5501600.0,35.8,-0.0023086448522620096,35.66642857142857,35.74879999999999
2014-08-27,2014,8,27,Wednesday,34,2014-34,38.96,39.13,38.83,38.96,4903600.0,35.86,0.001670916861416849,35.70642857142857,35.77519999999999
2014-08-28,2014,8,28,Thursday,34,2014-34,38.9,39.01,38.76,38.9,3956800.0,35.81,-0.0014113305793220787,35.71285714285714,35.79819999999999
2014-08-29,2014,8,29,Friday,34,2014-34,39.03,39.05,38.76,38.9,4657400.0,35.81,0.0,35.71071428571428,35.80599999999998
2014-09-02,2014,9,2,Tuesday,35,2014-35,38.85,38.99,38.58,38.74,6196200.0,35.66,-0.004241254097918867,35.699999999999996,35.81659999999999
2014-09-03,2014,9,3,Wednesday,35,2014-35,38.78,38.97,38.35,38.4,6796800.0,35.34,-0.008905595848370251,35.68499999999999,35.81959999999998
2014-09-04,2014,9,4,Thursday,35,2014-35,38.4,38.69,38.38,38.58,5741000.0,35.51,0.004818207548208608,35.702857142857134,35.81959999999998
2014-09-05,2014,9,5,Friday,35,2014-35,38.51,38.99,38.4,38.97,8026600.0,35.87,0.010238743226470115,35.73714285714285,35.82039999999998
2014-09-08,2014,9,8,Monday,36,2014-36,38.88,38.98,38.67,38.83,4492800.0,35.74,-0.003592099550285721,35.739285714285714,35.81919999999998
2014-09-09,2014,9,9,Tuesday,36,2014-36,38.72,38.88,38.49,38.56,5114600.0,35.49,-0.007081285749671484,35.70642857142857,35.813999999999986
2014-09-10,2014,9,10,Wednesday,36,2014-36,38.51,38.7,38.38,38.6,5918600.0,35.53,0.00116704525594713,35.67928571428571,35.814799999999984
2014-09-11,2014,9,11,Thursday,36,2014-36,38.49,38.5,38.04,38.06,9353400.0,35.03,-0.014117476297669795,35.635,35.799199999999985
2014-09-12,2014,9,12,Friday,36,2014-36,37.92,38.03,37.47,37.74,14614800.0,34.73,-0.008538966172561224,35.575714285714284,35.77659999999999
2014-09-15,2014,9,15,Monday,37,2014-37,37.63,37.67,37.19,37.46,10845800.0,34.48,-0.007287819443433041,35.47571428571428,35.740999999999985
2014-09-16,2014,9,16,Tuesday,37,2014-37,37.42,37.72,37.26,37.54,8040200.0,34.56,0.0022693107993239092,35.387142857142855,35.710399999999986
2014-09-17,2014,9,17,Wednesday,37,2014-37,37.67,37.91,37.56,37.67,7475800.0,34.67,0.0033289774143503426,35.30214285714286,35.683199999999985
2014-09-18,2014,9,18,Thursday,37,2014-37,37.79,37.94,37.5,37.87,8027600.0,34.85,0.00517686304302023,35.23357142857143,35.65139999999999
2014-09-19,2014,9,19,Friday,37,2014-37,37.99,38.17,37.88,38.03,12040800.0,35.01,0.0044896383027071,35.17642857142858,35.628199999999985
